Temperature (K),Pressure (MPa),T_critical_distance,P_critical_distance,Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
323.2,4.05,19.07,-3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.611709576558015
323.2,5.06,19.07,-2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.771028652891159
323.2,6.06,19.07,-1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.908309588875751
323.2,7.08,19.07,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.994450791009303
323.2,8.08,19.07,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.07508691760861
323.2,9.09,19.07,1.71,0.0,0.0,0.0,0.0,0.0,0.0,1.13282520534269
323.2,10.09,19.07,2.71,0.0,0.0,0.0,0.0,0.0,0.0,1.16173855923097
323.2,11.1,19.07,3.72,0.0,0.0,0.0,0.0,0.0,0.0,1.19068144667787
323.2,12.1,19.07,4.72,0.0,0.0,0.0,0.0,0.0,0.0,1.21385705121842
323.2,14.11,19.07,6.73,0.0,0.0,0.0,0.0,0.0,0.0,1.23125119170079
333.2,4.05,29.07,-3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.538046220308161
333.2,5.06,29.07,-2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.679878595250211
333.2,6.06,29.07,-1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.776735351706276
333.2,7.08,29.07,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.885382942670054
333.2,8.08,29.07,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.936994124492319
333.2,9.09,29.07,1.71,0.0,0.0,0.0,0.0,0.0,0.0,1.01171060747997
333.2,10.09,29.07,2.71,0.0,0.0,0.0,0.0,0.0,0.0,1.0520245487562
333.2,11.1,29.07,3.72,0.0,0.0,0.0,0.0,0.0,0.0,1.10394133983166
333.2,12.1,29.07,4.72,0.0,0.0,0.0,0.0,0.0,0.0,1.13860551560569
333.2,14.11,29.07,6.73,0.0,0.0,0.0,0.0,0.0,0.0,1.17910074477663
353.1,4.05,48.97,-3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.447648669853161
353.1,6.06,48.97,-1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.640093222440248
353.1,7.08,48.97,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.719720389780123
353.1,8.08,48.97,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.788152221972706
353.1,9.09,48.97,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.85102789058083
353.1,10.09,48.97,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.902576179866536
353.1,11.1,48.97,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.971454093470515
353.1,12.1,48.97,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.994450791009303
353.1,13.1,48.97,5.72,0.0,0.0,0.0,0.0,0.0,0.0,1.04280486423596
