Temperature (K),Pressure (MPa),T_critical_distance,P_critical_distance,Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
353.15,17.5,49.02,10.12,0.0,0.0,0.0,0.0,0.0,0.0,1.111
413.15,20.0,109.02,12.62,1.0,0.0,0.0,0.0,0.0,1.0,0.935
273.15,40.0,-30.98,32.62,3.0,0.0,0.0,0.0,0.0,3.0,1.181
423.0,15.0,118.87,7.62,0.0,0.0,0.0,1.667,0.0,3.334,0.49
353.15,7.0,49.02,-0.38,3.0,0.0,0.0,0.0,0.0,3.0,0.419
453.15,30.04,149.02,22.66,1.2,0.0,0.0,0.2,0.0,1.6,1.21
283.15,40.0,-20.98,32.62,5.0,0.0,0.0,0.0,0.0,5.0,0.776
313.15,6.0,9.02,-1.38,3.0,0.0,0.0,0.0,0.0,3.0,0.585
323.15,5.0,19.02,-2.38,3.0,0.0,0.0,0.0,0.0,3.0,0.454
374.65,5.99,70.52,-1.39,0.0,0.0,0.0,3.0,0.0,6.0,0.200552132052669
343.15,7.0,39.02,-0.38,3.0,0.0,0.0,0.0,0.0,3.0,0.449
413.16,1.656,109.03,-5.72,4.004,0.0,0.0,0.0,2.002,0.0,0.0513
333.15,0.564,29.02,-6.81,2.022,0.0,0.0,0.0,1.011,0.0,0.0494
433.15,30.0,129.02,22.62,5.0,0.0,0.0,0.0,0.0,5.0,0.675
424.13,4.39,120.0,-2.99,0.0,0.0,0.0,1.0,0.0,2.0,0.21733024436173
323.15,10.0,19.02,2.62,3.0,0.0,0.0,0.0,0.0,3.0,0.66
373.0,15.0,68.87,7.62,0.0,0.5,0.0,0.0,0.0,0.5,0.941
423.15,15.0,119.02,7.62,5.0,0.0,0.0,0.0,0.0,5.0,0.44
553.15,60.0,249.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,7.756
353.15,4.0,49.02,-3.38,3.0,0.0,0.0,0.0,0.0,3.0,0.28
423.0,10.0,118.87,2.62,2.9856,0.0,0.0,0.6661,0.0,4.3178,0.328
308.0,24.25,3.87,16.87,0.0,0.0,0.0,5.0,0.0,10.0,0.273330348554771
313.15,26.0,9.02,18.62,0.0,0.0,0.0,0.0,0.0,0.0,1.409
323.15,8.0,19.02,0.62,1.0,0.0,0.0,0.0,0.0,1.0,0.832
293.15,40.0,-10.98,32.62,5.0,0.0,0.0,0.0,0.0,5.0,0.743
333.15,30.06,29.02,22.68,0.0,0.0,0.0,0.2,0.0,0.4,1.33
323.15,1.62,19.02,-5.76,3.996,0.0,0.0,0.0,1.998,0.0,0.098
413.15,30.0,109.02,22.62,3.0,0.0,0.0,0.0,0.0,3.0,0.805
513.15,90.0,209.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,6.006
373.1,19.47,68.97,12.09,0.0,0.0,0.0,0.0,0.0,0.0,1.13860551560569
453.15,30.0,149.02,22.62,5.0,0.0,0.0,0.0,0.0,5.0,0.701
353.12,1.642,48.99,-5.74,4.001,0.0,0.0,0.0,0.0,4.001,0.1014
423.15,15.0,119.02,7.62,6.0,0.0,0.0,0.0,0.0,6.0,0.39
309.28,4.01,5.15,-3.37,0.0,0.0,0.0,1.0,0.0,2.0,0.583353964992507
313.11,1.705,8.98,-5.67,2.026,0.0,0.0,0.0,1.013,0.0,0.2014
313.15,9.0,9.02,1.62,3.0,0.0,0.0,0.0,0.0,3.0,0.69
553.15,40.0,249.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,4.247
423.15,10.16,119.02,2.78,3.996,0.0,0.0,0.0,1.998,0.0,0.298
344.93,30.58,40.8,23.2,0.0,0.0,1.0,0.0,0.0,2.0,0.8624739652721
323.0,17.5,18.87,10.12,2.9856,0.0,0.0,0.6661,0.0,4.3178,0.608
413.15,20.0,109.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.206
423.0,15.0,118.87,7.62,0.0,0.0,0.667,0.0,0.0,1.334,0.699
333.15,3.0,29.02,-4.38,1.0,0.0,0.0,0.0,0.0,1.0,0.376
373.0,15.0,68.87,7.62,0.0,3.0,0.0,0.0,0.0,3.0,0.74
298.15,10.0,-5.98,2.62,3.0,0.0,0.0,0.0,0.0,3.0,0.795
