Temperature (K),Pressure (MPa),Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
290.9,0.0,3.2606,0.0,0.0,0.0,0.0,3.2606,0.0
290.9,0.00181108305,3.2606,0.0,0.0,0.0,0.0,3.2606,0.0
290.9,0.75231786,3.2606,0.0,0.0,0.0,0.0,3.2606,0.17499
290.9,1.4809662,3.2606,0.0,0.0,0.0,0.0,3.2606,0.32672
290.9,2.176967625,3.2606,0.0,0.0,0.0,0.0,3.2606,0.45577
290.9,2.829905925,3.2606,0.0,0.0,0.0,0.0,3.2606,0.56324
290.9,3.430155225,3.2606,0.0,0.0,0.0,0.0,3.2606,0.6508
290.9,3.970217475,3.2606,0.0,0.0,0.0,0.0,3.2606,0.72051
290.9,4.444519799999999,3.2606,0.0,0.0,0.0,0.0,3.2606,0.77468
290.9,4.8497184749999995,3.2606,0.0,0.0,0.0,0.0,3.2606,0.81568
290.9,5.1850029,3.2606,0.0,0.0,0.0,0.0,3.2606,0.84576
290.9,5.45148765,3.2606,0.0,0.0,0.0,0.0,3.2606,0.86701
290.9,5.651604525,3.2606,0.0,0.0,0.0,0.0,3.2606,0.88123
290.9,5.7894065249999995,3.2606,0.0,0.0,0.0,0.0,3.2606,0.88999
290.9,5.8695546,3.2606,0.0,0.0,0.0,0.0,3.2606,0.89456
290.9,5.897418975,3.2606,0.0,0.0,0.0,0.0,3.2606,0.896
290.9,5.897216325,3.2606,0.0,0.0,0.0,0.0,3.2606,0.89596
290.9,5.89691235,3.2606,0.0,0.0,0.0,0.0,3.2606,0.89576
290.9,5.896608375,3.2606,0.0,0.0,0.0,0.0,3.2606,0.89533
290.9,5.896203075,3.2606,0.0,0.0,0.0,0.0,3.2606,0.89462
290.9,5.8958991,3.2606,0.0,0.0,0.0,0.0,3.2606,0.89363
290.9,5.8954938,3.2606,0.0,0.0,0.0,0.0,3.2606,0.89238
290.9,5.8950885,3.2606,0.0,0.0,0.0,0.0,3.2606,0.89091
290.9,5.894581874999999,3.2606,0.0,0.0,0.0,0.0,3.2606,0.88925
290.9,5.8941765749999995,3.2606,0.0,0.0,0.0,0.0,3.2606,0.88744
290.9,5.89366995,3.2606,0.0,0.0,0.0,0.0,3.2606,0.88552
290.9,5.89326465,3.2606,0.0,0.0,0.0,0.0,3.2606,0.88353
290.9,5.892758024999999,3.2606,0.0,0.0,0.0,0.0,3.2606,0.88152
290.9,5.892150075,3.2606,0.0,0.0,0.0,0.0,3.2606,0.87952
290.9,5.89164345,3.2606,0.0,0.0,0.0,0.0,3.2606,0.87758
290.9,5.8910355,3.2606,0.0,0.0,0.0,0.0,3.2606,0.87573
290.9,5.890528874999999,3.2606,0.0,0.0,0.0,0.0,3.2606,0.874
290.9,5.889920924999999,3.2606,0.0,0.0,0.0,0.0,3.2606,0.87243
