Temperature (K),Pressure (MPa),Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
381.96,0.0,4.5447,0.0,0.0,0.0,0.0,4.5447,0.0
381.96,0.1140210225,4.5447,0.0,0.0,0.0,0.0,4.5447,0.0
381.96,1.463842275,4.5447,0.0,0.0,0.0,0.0,4.5447,0.060634
381.96,2.748643275,4.5447,0.0,0.0,0.0,0.0,4.5447,0.11353
381.96,3.970420125,4.5447,0.0,0.0,0.0,0.0,4.5447,0.15978
381.96,5.132415225,4.5447,0.0,0.0,0.0,0.0,4.5447,0.20026
381.96,6.23858025,4.5447,0.0,0.0,0.0,0.0,4.5447,0.23577
381.96,7.293272175,4.5447,0.0,0.0,0.0,0.0,4.5447,0.26701
381.96,8.301455925,4.5447,0.0,0.0,0.0,0.0,4.5447,0.29461
381.96,9.268096425,4.5447,0.0,0.0,0.0,0.0,4.5447,0.3191
381.96,10.19836125,4.5447,0.0,0.0,0.0,0.0,4.5447,0.34095
381.96,11.09812725,4.5447,0.0,0.0,0.0,0.0,4.5447,0.36057
381.96,11.972562,4.5447,0.0,0.0,0.0,0.0,4.5447,0.37831
381.96,12.827744999999998,4.5447,0.0,0.0,0.0,0.0,4.5447,0.39446
381.96,13.6687425,4.5447,0.0,0.0,0.0,0.0,4.5447,0.40928
381.96,14.501634000000001,4.5447,0.0,0.0,0.0,0.0,4.5447,0.42299
381.96,15.33148575,4.5447,0.0,0.0,0.0,0.0,4.5447,0.43578
381.96,16.165390499999997,4.5447,0.0,0.0,0.0,0.0,4.5447,0.44781
381.96,17.00942775,4.5447,0.0,0.0,0.0,0.0,4.5447,0.45923
381.96,17.8676505,4.5447,0.0,0.0,0.0,0.0,4.5447,0.47015
381.96,18.74816475,4.5447,0.0,0.0,0.0,0.0,4.5447,0.48067
381.96,19.658063249999998,4.5447,0.0,0.0,0.0,0.0,4.5447,0.4909
381.96,20.601399,4.5447,0.0,0.0,0.0,0.0,4.5447,0.50091
